model,metric,estimate,ci_lower,ci_upper,bootstrap_iterations
Logistic Regression,roc_auc,0.8197610638071188,0.8140872987980295,0.8253220891201196,40
Logistic Regression,pr_auc,0.3909771620789016,0.37724940733293344,0.4096232760281554,40
Logistic Regression,brier_score,0.10014283118009076,0.09893780082856124,0.10168732214595858,40
Random Forest,roc_auc,0.8242897797460844,0.8205045258472501,0.8278342427502532,40
Random Forest,pr_auc,0.4136262880333767,0.39908184336927743,0.4278061753336882,40
Random Forest,brier_score,0.09811844939754784,0.09643177872098252,0.09980720355557285,40
XGBoost,roc_auc,0.8278207244277689,0.8233758111574571,0.8324740175836282,40
XGBoost,pr_auc,0.42269444166640513,0.41053640787645124,0.4358999134483119,40
XGBoost,brier_score,0.09737813761359426,0.09547101431719167,0.0999327668266623,40
1D CNN,roc_auc,0.7149832297188732,0.7082210288090596,0.7195519085244939,40
1D CNN,pr_auc,0.28633325673558374,0.2774492419864384,0.29940614306722046,40
1D CNN,brier_score,0.11142335506218021,0.10966461118864093,0.11368782568772433,40
