model,threshold,sensitivity,specificity,precision,youden_j,predicted_positive_rate
Logistic Regression,0.01,0.9990569596378726,0.05251908396946565,0.1458144080160762,0.05157604360733825,0.9546672973825292
Logistic Regression,0.02,0.9941531497548095,0.17083969465648854,0.16255474002343798,0.16499284441129802,0.8521496898980343
Logistic Regression,0.03,0.9835910976989816,0.27435114503816793,0.17995169082125603,0.2579422427371494,0.7615894039735099
Logistic Regression,0.04,0.9703885326291966,0.352,0.1951302764819661,0.3223885326291964,0.6929202144433932
Logistic Regression,0.05,0.9590720482836665,0.41850381679389315,0.21074226035061544,0.3775758650775596,0.6341059602649006
Logistic Regression,0.060000000000000005,0.9402112410411165,0.4725190839694656,0.22394429469901167,0.41273032501058227,0.5849889624724062
Logistic Regression,0.06999999999999999,0.9221048660882686,0.5198167938931297,0.23715740965316517,0.4419216599813982,0.5417586460632818
Logistic Regression,0.08,0.9036212749905695,0.5582900763358779,0.24879264682972427,0.46191135132644745,0.5060706401766004
Logistic Regression,0.09,0.8838174273858921,0.5923358778625955,0.2597993014359372,0.4761533052484874,0.47400925049931675
Logistic Regression,0.09999999999999999,0.8598642021878536,0.6243053435114504,0.27035521556069503,0.48416954569930404,0.4431567328918322
Logistic Regression,0.11,0.8387400980761976,0.65193893129771,0.2806386469771551,0.4906790293739076,0.4164301482182277
Logistic Regression,0.12,0.8172387778196907,0.6781679389312977,0.2913332885093794,0.49540671675098835,0.39085987595921373
Logistic Regression,0.13,0.7957374575631837,0.7006106870229007,0.30084141471762693,0.49634814458608445,0.36854830232313673
Logistic Regression,0.14,0.7682006789890607,0.7214045801526717,0.3086307494127453,0.4896052591417326,0.3468148848943551
Logistic Regression,0.15000000000000002,0.7466993587325538,0.7406412213740458,0.3179153617602184,0.48734058010659953,0.3272626931567329
Logistic Regression,0.16,0.7270841192003018,0.7588091603053435,0.3279734558448188,0.4858932795056452,0.3088930936613056
Logistic Regression,0.17,0.7031308940022633,0.7748091603053435,0.3357651085292263,0.47794005430760667,0.29178492589088617
Logistic Regression,0.18000000000000002,0.6793662768766503,0.7897099236641222,0.34340737915911906,0.4690762005407725,0.275649111741827
Logistic Regression,0.19,0.6561674839683138,0.8037251908396946,0.35116584233370346,0.45989267480800855,0.2603542520761064
Logistic Regression,0.2,0.6312712184081478,0.8166717557251908,0.35792963319431076,0.4479429741333387,0.2457426679280984
Logistic Regression,0.21000000000000002,0.6107129385137684,0.8285496183206107,0.3657517225799164,0.4392625568343791,0.2326553137811416
